NA	VC	VCT	670	1 784 
EU	SM	SMR	674	378 
AF	ST	STP	678	239 
AS	SA	SAU	682	966 
AF	SN	SEN	686	221 
EU	RS	SRB	688	381 
AF	SC	SYC	690	248 
AF	SL	SLE	694	232 
AS	SG	SGP	702	65 
EU	SK	SVK	703	421 
AS	VN	VNM	704	84 
EU	SI	SVN	705	386 
AF	SO	SOM	706	252 
AF	ZA	ZAF	710	27 
AF	ZW	ZWE	716	263 
EU	ES	ESP	724	34 
AF	SS	SSD	728
AF	EH	ESH	732	 
AF	SD	SDN	736	249 
SA	SR	SUR	740	597 
EU	SJ	SJM	744	 
AF	SZ	SWZ	748	268 
EU	SE	SWE	752	46 
EU	CH	CHE	756	41 
AS	SY	SYR	760	963 
AS	TJ	TJK	762	992 
AS	TH	THA	764	66 
AF	TG	TGO	768	228 
OC	TK	TKL	772	690 
OC	TO	TON	776	676 
NA	TT	TTO	780	1 868 
AS	AE	ARE	784	971 
AF	TN	TUN	788	216 
AS	TR	TUR	792	90 
AS	TM	TKM	795	993 
NA	TC	TCA	796	1 649 
OC	TV	TUV	798	688 
AF	UG	UGA	800	256 
EU	UA	UKR	804	380 
EU	MK	MKD	807	389 
AF	EG	EGY	818	20 
EU	GB	GBR	826	44 
EU	GG	GGY	831
EU	JE	JEY	832	 
EU	IM	IMN	833	44 
AF	TZ	TZA	834	255 
NA	US	USA	840	1 
NA	VI	VIR	850	1 340 
AF	BF	BFA	854	226 
SA	UY	URY	858	598 
AS	UZ	UZB	860	998 
SA	VE	VEN	862	58 
OC	WF	WLF	876	681 
OC	WS	WSM	882	685 
AS	YE	YEM	887	967 
AF	ZM	ZMB	894	260 
AS	XS		
